"CO_GRUPO";"CO_REGIAO_CURSO";"NU_IDADE";"TP_SEXO";"CO_TURNO_GRADUACAO";"NT_GER";"QE_I01";"QE_I02";"QE_I04";"QE_I05";"QE_I08";"QE_I21";"QE_I22";"QE_I23";"NT_OBJ_FG";"NT_OBJ_CE";"Sexo";"Regiao";"Turno";"Estado_Civil";"Cor_Raca";"Escolaridade_Pai";"Escolaridade_Mae";"Renda_Familiar";"Familiar_Graduado";"Qdade_Livros";"Horas_Estudo"
3002;5;32;"M";4;39,3;"B";"A";"B";"B";"B";"A";"D";"C";25;37,5;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Branca";"Ensino Fundamental I";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 6 a 8";"De 4 a 7"
3002;5;28;"F";4;42,1;"A";"D";"D";"D";"A";"A";"C";"C";50;29,2;"Feminino";"Centro-Oeste";"Noturno";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 4 a 7"
3002;5;37;"M";4;43,5;"B";"A";"D";"B";"B";"A";"C";"E";50;45,8;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Branca";"Ensino Médio";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 3 a 5";"Mais de 12"
3002;5;26;"M";4;27,7;"A";"B";"B";"C";"A";"A";"E";"C";50;20,8;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Sim";"Mais de 8";"De 4 a 7"
3002;5;26;"F";4;53,8;"B";"D";"D";"D";"F";"A";"D";"B";75;54,2;"Feminino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Ensino Médio";"Ensino Médio";"De 10 a 30 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;5;23;"M";4;75,2;"A";"A";"C";"D";"A";"A";"C";"C";62,5;83,3;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Branca";"Ensino Fundamental II";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 4 a 7"
3002;5;32;"M";4;41,4;"B";"D";"A";"C";"B";"A";"C";"B";50;33,3;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Nenhuma";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Sim";"De 3 a 5";"De 1 a 3"
3002;5;23;"F";4;41,4;"A";"D";"C";"C";"B";"B";"C";"B";37,5;45,8;"Feminino";"Centro-Oeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;5;45;"M";4;33,5;"C";"D";"A";"A";"B";"B";"D";"C";62,5;33,3;"Masculino";"Centro-Oeste";"Noturno";"Separado";"Parda";"Nenhuma";"Nenhuma";"De 1,5 e 3 salários mínimos";"Não";"De 6 a 8";"De 4 a 7"
3002;5;27;"M";4;63,2;"A";"B";"C";"D";"A";"A";"B";"C";75;58,3;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Preta";"Ensino Fundamental II";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 4 a 7"
3002;5;50;"F";4;63,1;"E";"D";"D";"C";"C";"A";"C";"C";62,5;62,5;"Feminino";"Centro-Oeste";"Noturno";"Outro";"Parda";"Ensino Médio";"Ensino Fundamental II";"De 3 a 4,5 salários mínimos";"Sim";"De 3 a 5";"De 4 a 7"
3002;5;37;"F";4;26,1;"B";"A";"A";"B";"B";"A";"C";"B";37,5;25;"Feminino";"Centro-Oeste";"Noturno";"Casado";"Branca";"Nenhuma";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 3 a 5";"De 1 a 3"
3002;5;36;"F";4;44;"A";"A";"B";"B";"A";"A";"D";"D";62,5;33,3;"Feminino";"Centro-Oeste";"Noturno";"Solteiro";"Branca";"Ensino Fundamental I";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Sim";"De 6 a 8";"De 8 a 12"
3002;5;53;"M";4;51,2;"B";"D";"A";"B";"C";"A";"A";"B";25;58,3;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Nenhuma";"Ensino Fundamental I";"De 3 a 4,5 salários mínimos";"Sim";"Nenhum";"De 1 a 3"
3002;5;26;"M";4;32,2;"A";"B";"B";"B";"A";"B";"C";"B";37,5;41,7;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 1 a 3"
3002;5;32;"F";4;26,4;"B";"D";"B";"E";"A";"A";"B";"B";12,5;29,2;"Feminino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Ensino Fundamental I";"Ensino Superior";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 1 a 3"
3002;5;35;"M";4;46,6;"B";"D";"A";"C";"B";"A";"E";"B";37,5;62,5;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Nenhuma";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Sim";"Mais de 8";"De 1 a 3"
3002;5;37;"M";4;47,3;"A";"C";"D";"C";"B";"A";"B";"B";62,5;50;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Amarela";"Ensino Médio";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;5;30;"M";4;37,8;"B";"B";"B";"B";"A";"A";"B";"A";37,5;33,3;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Preta";"Ensino Fundamental I";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"Nenhuma"
3002;5;45;"F";4;41,1;"A";"D";"A";"A";"B";"A";"E";"C";37,5;41,7;"Feminino";"Centro-Oeste";"Noturno";"Solteiro";"Parda";"Nenhuma";"Nenhuma";"De 1,5 e 3 salários mínimos";"Sim";"Mais de 8";"De 4 a 7"
3002;5;26;"M";4;37,8;"A";"B";"A";"D";"A";"B";"B";"B";25;37,5;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Preta";"Nenhuma";"Ensino Médio";"Até 1,5 salário mínimo";"Não";"De 1 a 2";"De 1 a 3"
3002;5;27;"M";4;41;"B";"A";"C";"E";"A";"A";"B";"B";50;37,5;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Branca";"Ensino Fundamental II";"Ensino Superior";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 1 a 3"
3002;5;25;"F";4;37,3;"B";"D";"E";"D";"B";"A";"B";"B";50;33,3;"Feminino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Ensino Superior";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;5;45;"M";4;35,2;"B";"D";"B";"B";"C";"B";"D";"D";62,5;25;"Masculino";"Centro-Oeste";"Noturno";"Casado";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"De 3 a 4,5 salários mínimos";"Não";"De 6 a 8";"De 8 a 12"
3002;5;34;"M";4;34,4;"A";"A";"A";"A";"A";"A";"E";"C";37,5;29,2;"Masculino";"Centro-Oeste";"Noturno";"Solteiro";"Branca";"Nenhuma";"Nenhuma";"Até 1,5 salário mínimo";"Sim";"Mais de 8";"De 4 a 7"
3002;2;29;"F";1;40,2;"A";"D";"A";"A";"A";"B";"C";"B";62,5;33,3;"Feminino";"Nordeste";"Matutino";"Solteiro";"Parda";"Nenhuma";"Nenhuma";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 1 a 3"
3002;2;35;"M";1;46,3;"A";"D";"D";"C";"C";"B";"E";"D";50;50;"Masculino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Fundamental II";"De 3 a 4,5 salários mínimos";"Não";"Mais de 8";"De 8 a 12"
3002;2;33;"M";1;52,2;"A";"D";"E";"E";"C";"A";"D";"B";87,5;45,8;"Masculino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Superior";"Ensino Superior";"De 3 a 4,5 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;2;24;"M";4;44,7;"A";"D";"C";"B";"B";"A";"B";"C";62,5;37,5;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;31;"M";4;78,5;"A";"D";"A";"A";"B";"B";"B";"B";87,5;87,5;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Nenhuma";"Nenhuma";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"De 1 a 3"
3002;2;29;"F";4;57,5;"E";"D";"C";"F";"B";"A";"B";"C";62,5;54,2;"Feminino";"Nordeste";"Noturno";"Outro";"Parda";"Ensino Fundamental II";"Pós Graduação";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;26;"M";4;46,3;"A";"D";"C";"C";"A";"B";"C";"D";50;41,7;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 8 a 12"
3002;2;31;"M";1;56,1;"A";"D";"B";"B";"B";"A";"B";"C";62,5;62,5;"Masculino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;25;"M";4;65,8;"A";"D";"C";"D";"D";"B";"C";"B";87,5;66,7;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Médio";"De 4,5 a 6 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;2;32;"F";4;47,9;"A";"D";"C";"C";"B";"A";"B";"C";62,5;54,2;"Feminino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;30;"F";4;71,2;"B";"B";"A";"D";"A";"A";"E";"D";50;75;"Feminino";"Nordeste";"Noturno";"Casado";"Preta";"Nenhuma";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"Mais de 8";"De 8 a 12"
3002;2;23;"M";1;56,1;"A";"D";"B";"A";"A";"A";"C";"C";37,5;58,3;"Masculino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Fundamental I";"Nenhuma";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 4 a 7"
3002;2;27;"M";4;62,6;"A";"D";"C";"D";"A";"A";"D";"C";87,5;66,7;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 6 a 8";"De 4 a 7"
3002;2;28;"F";4;60,6;"B";"D";"C";"F";"B";"A";"B";"B";50;70,8;"Feminino";"Nordeste";"Noturno";"Casado";"Parda";"Ensino Fundamental II";"Pós Graduação";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;2;23;"F";1;48,7;"A";"D";"D";"C";"A";"A";"C";"B";50;41,7;"Feminino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 1 a 3"
3002;2;25;"F";1;42;"E";"B";"C";"A";"A";"B";"E";"B";62,5;41,7;"Feminino";"Nordeste";"Matutino";"Outro";"Preta";"Ensino Fundamental II";"Nenhuma";"Até 1,5 salário mínimo";"Não";"Mais de 8";"De 1 a 3"
3002;2;51;"M";4;31;"B";"D";"C";"B";"D";"A";"B";"B";50;29,2;"Masculino";"Nordeste";"Noturno";"Casado";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 4,5 a 6 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;2;27;"M";1;45,1;"A";"D";"D";"B";"B";"A";"D";"B";50;41,7;"Masculino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;2;21;"F";1;69,4;"A";"D";"D";"D";"B";"B";"C";"B";50;75;"Feminino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;2;22;"M";4;58,5;"A";"D";"C";"B";"B";"B";"C";"B";87,5;54,2;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;2;29;"F";1;41,7;"A";"B";"B";"B";"B";"A";"D";"B";50;50;"Feminino";"Nordeste";"Matutino";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;2;23;"M";4;52,5;"A";"D";"C";"B";"B";"A";"D";"C";37,5;50;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 6 a 8";"De 4 a 7"
